Ingredient,Description,Category,Substitutes
rose syrup,"This is used in the Middle East, India, Persia, and Southeast Asia to flavor desserts and beverages.",Extracts and Flavoring Oils,"[{'Substitute': '1 teaspoon rose essence', 'Equivalent': '= 1 teaspoon rose syrup', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 teaspoon rose water', 'Equivalent': '= 1 teaspoon rose syrup', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '0 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
rose water,"This is distilled from rose petals, and used in the Middle East, North Africa, and India to flavor desserts.  Don't confuse this with rose essence, which is more concentrated.",Extracts and Flavoring Oils,"[{'Substitute': '1 teaspoon orange flower water', 'Equivalent': '= 1 teaspoon rose water', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '4 dropses rose syrup', 'Equivalent': '= 1 teaspoon rose water', 'Note': 'use just a few drops', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '4 dropses rose essence', 'Equivalent': '= 1 teaspoon rose water', 'Note': 'use just a few drops', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '0.75 teaspoons almond extract', 'Equivalent': '= 1 teaspoon rose water', 'Note': 'use less', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 teaspoon kewra water', 'Equivalent': '= 1 teaspoon rose water', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
rotini,"These pasta shapes look like short springs or corkscrews made from spaghetti. They cling to chunky or thick sauces, but they also work in pasta salads.",Pasta Shapes,"[{'Substitute': '1 pound fusilli', 'Equivalent': '= 1 pound rotini', 'Note': '', 'Nutritional value': {'Carbs': '74.7 g', 'Calories': '371 Cals.', 'Salt': '6 mg', 'Fat': '1.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '13 g', 'Sugars': '2.7 g', 'Fiber': '3.2 g', 'Mono Fats': '0.2 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '0.3 g'}}, {'Substitute': '1 pound rotelle', 'Equivalent': '= 1 pound rotini', 'Note': '', 'Nutritional value': {'Carbs': '74.7 g', 'Calories': '371 Cals.', 'Salt': '6 mg', 'Fat': '1.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '13 g', 'Sugars': '2.7 g', 'Fiber': '3.2 g', 'Mono Fats': '0.2 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '0.3 g'}}, {'Substitute': '1 pound gemelli', 'Equivalent': '= 1 pound rotini', 'Note': '', 'Nutritional value': {'Carbs': '74.7 g', 'Calories': '371 Cals.', 'Salt': '6 mg', 'Fat': '1.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '13 g', 'Sugars': '2.7 g', 'Fiber': '3.2 g', 'Mono Fats': '0.2 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '0.3 g'}}, {'Substitute': '1 pound torchio', 'Equivalent': '= 1 pound rotini', 'Note': '', 'Nutritional value': {'Carbs': '74.7 g', 'Calories': '371 Cals.', 'Salt': '6 mg', 'Fat': '1.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '13 g', 'Sugars': '2.7 g', 'Fiber': '3.2 g', 'Mono Fats': '0.2 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '0.3 g'}}, {'Substitute': '1 pound penne', 'Equivalent': '= 1 pound rotini', 'Note': '', 'Nutritional value': {'Carbs': '74.7 g', 'Calories': '371 Cals.', 'Salt': '6 mg', 'Fat': '1.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '13 g', 'Sugars': '2.7 g', 'Fiber': '3.2 g', 'Mono Fats': '0.2 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '0.3 g'}}]"
roux,"This is a thickener that's made from equal weights of flour and a fat, like butter or meat drippings.  It's especially good for thickening rich, hearty stews and gravies.  To make it, heat the fat in a pan, then gradually whisk in the flour.  Cook the mixture, stirring constantly, for at least several minutes, then gradually whisk in the hot liquid you're trying to thicken.  You must then cook the sauce for at least 30 minutes to prevent it from acquiring a grainy texture and a starchy, floury taste.   Some cooks make large batches of roux, and store it in the refrigerator or freezer.",Other Thickeners,"[{'Substitute': '1 cup Instant flour', 'Equivalent': '= 1 cup roux', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 cup corn starch', 'Equivalent': '= 1 cup roux', 'Note': ""mixed first into a paste; doesn't tolerate prolonged heating as well"", 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 cup potato starch', 'Equivalent': '= 1 cup roux', 'Note': '', 'Nutritional value': {'Carbs': '80 g', 'Calories': '300 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 cup rice starch', 'Equivalent': '= 1 cup roux', 'Note': 'all of these make clear, not opaque, sauces', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 cup Lentils', 'Equivalent': '= 1 cup roux', 'Note': 'for soups and stews', 'Nutritional value': {'Carbs': '63.4 g', 'Calories': '352 Cals.', 'Salt': '6 mg', 'Fat': '1.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '4.5 mg', 'Calcium': '35 mg', 'Protein': '24.6 g', 'Sugars': '2 g', 'Fiber': '10.7 g', 'Mono Fats': '0.2 g', 'Poly Fats': '0.5 g', 'Saturated Fats': '0.2 g'}}, {'Substitute': '1 cup dried beans', 'Equivalent': '= 1 cup roux', 'Note': 'for soups and stews', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 cup Rice', 'Equivalent': '= 1 cup roux', 'Note': 'for soups and stews', 'Nutritional value': {'Carbs': '77.8 g', 'Calories': '356 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '6.7 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
royal olives,This is large brown Greek olive is brine-cured.,Olives,"[{'Substitute': '1 pound Atalanta olives', 'Equivalent': '= 1 pound royal olives', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound Kalamata olives', 'Equivalent': '= 1 pound royal olives', 'Note': '', 'Nutritional value': {'Carbs': '13.3 g', 'Calories': '233 Cals.', 'Salt': '2133 mg', 'Fat': '16.7 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '13.3 g', 'Sugars': '0 g', 'Fiber': '6.7 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '3.3 g'}}]"
rum,"Rum is a key ingredient in many chilled drinks, like daiquiris, piña coladas, and Planter's punch.  It's used in the kitchen, too, especially in cakes or fruit-based desserts.  Rum is distilled from sugar cane, and most of it comes from cane-producing Caribbean countries.  Its character varies according to its color. White rums are relatively dry and light, and commonly used in mixed drinks. The amber rums from Puerto Rico, Trinidad, and the Virgin Islands are heavier and more flavorful.  The dark rums from Jamaica and Haiti are heavier still, and have a pronounced molasses flavor. Demerara rums are the darkest and heaviest of all. There also are aromatic rums that are flavored with fruits and spices.",Rum,"[{'Substitute': '1 ounce brandy', 'Equivalent': '= 1 ounce rum', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '231 Cals.', 'Salt': '1 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '0.5 cups apple juice + 1 tablespoon rum extract', 'Equivalent': '= 1 ounce rum', 'Note': '', 'Nutritional value': {'Carbs': '11.3 g', 'Calories': '46 Cals.', 'Salt': '4 mg', 'Fat': '0.1 g', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '0.5 cups water + 1 tablespoon rum extract', 'Equivalent': '= 1 ounce rum', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '0 Cals.', 'Salt': '4 mg', 'Fat': '0 g', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 ounce Bourbon whiskey', 'Equivalent': '= 1 ounce rum', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '231 Cals.', 'Salt': '1 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 ounce sherry', 'Equivalent': '= 1 ounce rum', 'Note': '', 'Nutritional value': {'Carbs': '13.7 g', 'Calories': '160 Cals.', 'Salt': '9 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '8 mg', 'Protein': '0.2 g', 'Sugars': '7.8 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 ounce gin', 'Equivalent': '= 1 ounce rum', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '231 Cals.', 'Salt': '1 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 ounce orange liqueur', 'Equivalent': '= 1 ounce rum', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 ounce orange juice', 'Equivalent': '= 1 ounce rum', 'Note': '', 'Nutritional value': {'Carbs': '11.7 g', 'Calories': '46 Cals.', 'Salt': '6 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '29.2 mg', 'Calcium': '8 mg', 'Protein': '0.8 g', 'Sugars': '9.6 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 ounce pineapple juice', 'Equivalent': '= 1 ounce rum', 'Note': '', 'Nutritional value': {'Carbs': '12.9 g', 'Calories': '53 Cals.', 'Salt': '2 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '43.8 mg', 'Calcium': '13 mg', 'Protein': '0.4 g', 'Sugars': '10 g', 'Fiber': '0.2 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 ounce vodka flavorless', 'Equivalent': '= 1 ounce rum', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '231 Cals.', 'Salt': '1 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
rum-based liqueurs,This category includes coconut rum and spiced rum.,Other Liqueurs,[]
rum extract,"This is used to impart the flavor of rum without the alcohol.  Though rum extracts are made with alcohol, such a small amount is needed in any recipe that the end product is virtually non-alcoholic.  If you're a stickler, though, non-alcoholic rum extracts are also available, as are Passover rum extracts.",Extracts and Flavoring Oils,"[{'Substitute': '3 tablespoons rum', 'Equivalent': '= 1 teaspoon rum extract', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '231 Cals.', 'Salt': '1 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '0.5 teaspoons orange extract', 'Equivalent': '= 1 teaspoon rum extract', 'Note': 'use less', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
rotelle,"Rotelle is an Italian pasta that's shaped like a wagon wheel, and it works well with chunky sauces or in pasta salads.",Pasta Shapes,"[{'Substitute': '1 pound farfalle', 'Equivalent': '= 1 pound rotelle', 'Note': '', 'Nutritional value': {'Carbs': '30.6 g', 'Calories': '157 Cals.', 'Salt': '131 mg', 'Fat': '0.9 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '7 mg', 'Protein': '5.8 g', 'Sugars': '0.6 g', 'Fiber': '1.8 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.3 g', 'Saturated Fats': '0.2 g'}}, {'Substitute': '1 pound conchiglie', 'Equivalent': '= 1 pound rotelle', 'Note': '', 'Nutritional value': {'Carbs': '73.2 g', 'Calories': '375 Cals.', 'Salt': '0 mg', 'Fat': '1.8 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '10.7 g', 'Sugars': '3.6 g', 'Fiber': '3.6 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound radiatori', 'Equivalent': '= 1 pound rotelle', 'Note': '', 'Nutritional value': {'Carbs': '73.2 g', 'Calories': '357 Cals.', 'Salt': '0 mg', 'Fat': '1.8 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '10.7 g', 'Sugars': '3.6 g', 'Fiber': '3.6 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound penne', 'Equivalent': '= 1 pound rotelle', 'Note': '', 'Nutritional value': {'Carbs': '74.7 g', 'Calories': '371 Cals.', 'Salt': '6 mg', 'Fat': '1.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '21 mg', 'Protein': '13 g', 'Sugars': '2.7 g', 'Fiber': '3.2 g', 'Mono Fats': '0.2 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '0.3 g'}}]"
russet potato,"These potatoes are high in starch and low in moisture, so they bake well and yield light, fluffy mashed potatoes. They don't hold their shape after cooking, so don't use them to make potato salads or scalloped potatoes. Don't wrap them in aluminum foil while baking them; the foil traps moisture and makes the potato mushier.",Potatoes,"[{'Substitute': '1 pound white rose potato', 'Equivalent': '= 1 pound russet potato', 'Note': '', 'Nutritional value': {'Carbs': '15.7 g', 'Calories': '69 Cals.', 'Salt': '16 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '9.1 mg', 'Calcium': '9 mg', 'Protein': '1.7 g', 'Sugars': '1.2 g', 'Fiber': '2.4 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound Yukon Gold potato', 'Equivalent': '= 1 pound russet potato', 'Note': '', 'Nutritional value': {'Carbs': '17.5 g', 'Calories': '77 Cals.', 'Salt': '6 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '19.7 mg', 'Calcium': '12 mg', 'Protein': '2.1 g', 'Sugars': '0.8 g', 'Fiber': '2.1 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
Russian black bread,,Breads,"[{'Substitute': '1 pound pumpernickel bread', 'Equivalent': '= 1 pound Russian black bread', 'Note': '', 'Nutritional value': {'Carbs': '47.5 g', 'Calories': '250 Cals.', 'Salt': '596 mg', 'Fat': '3.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '68 mg', 'Protein': '8.7 g', 'Sugars': '0.5 g', 'Fiber': '6.5 g', 'Mono Fats': '0.9 g', 'Poly Fats': '1.2 g', 'Saturated Fats': '0.4 g'}}]"
Russian tea cookie,"These are made with flour, nuts, and butter, baked, and then rolled in powdered sugar.",Cookies,[]
rutabaga,"Rutabagas look like turnips, only they're a bit larger and have a yellow complexion. Use them just as you would turnips.",Roots,"[{'Substitute': '1 pound turnip', 'Equivalent': '= 1 pound rutabaga', 'Note': 'smaller, not as sweet; takes less time to cook', 'Nutritional value': {'Carbs': '6.4 g', 'Calories': '28 Cals.', 'Salt': '67 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '21 mg', 'Calcium': '30 mg', 'Protein': '0.9 g', 'Sugars': '3.8 g', 'Fiber': '1.8 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound celeriac', 'Equivalent': '= 1 pound rutabaga', 'Note': '', 'Nutritional value': {'Carbs': '9.2 g', 'Calories': '42 Cals.', 'Salt': '100 mg', 'Fat': '0.3 g', 'Cholesterol': '0 mg', 'Vitamin C': '8 mg', 'Calcium': '43 mg', 'Protein': '1.5 g', 'Sugars': '1.6 g', 'Fiber': '1.8 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound kohlrabi', 'Equivalent': '= 1 pound rutabaga', 'Note': '', 'Nutritional value': {'Carbs': '6.2 g', 'Calories': '27 Cals.', 'Salt': '20 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '62 mg', 'Calcium': '24 mg', 'Protein': '1.7 g', 'Sugars': '2.6 g', 'Fiber': '3.6 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
Rye,"Rye isn't as nutritious as other grains, but it's hardy enough to grow in very cold climates. This has made it a staple of Northern Europeans, who use it to make breads, crackers, and whiskey. It has a distinctive, hearty flavor that's best when combined with other assertive ingredients.",Rye,"[{'Substitute': '1 cup triticale', 'Equivalent': '= 1 cup Rye', 'Note': '', 'Nutritional value': {'Carbs': '72.1 g', 'Calories': '336 Cals.', 'Salt': '5 mg', 'Fat': '2.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '37 mg', 'Protein': '13.1 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.2 g', 'Poly Fats': '0.9 g', 'Saturated Fats': '0.4 g'}}]"
rye berries,"Soak these overnight before cooking.  Soaked and cooked rye berries are sometimes added to breads for extra texture, or used to make pilafs or hot breakfast cereals.",Rye,"[{'Substitute': '1 cup triticale berries', 'Equivalent': '= 1 cup rye berries', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 cup wheat berries', 'Equivalent': '= 1 cup rye berries', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 cup buckwheat groats', 'Equivalent': '= 1 cup rye berries', 'Note': '', 'Nutritional value': {'Carbs': '19.9 g', 'Calories': '92 Cals.', 'Salt': '150 mg', 'Fat': '0.6 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '7 mg', 'Protein': '3.4 g', 'Sugars': '0.9 g', 'Fiber': '2.7 g', 'Mono Fats': '0.2 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.1 g'}}]"
rye bread,"This is a favorite of Northern Europeans, who use it to make hearty sandwiches.  Most of it is made with both rye and wheat flours.  There are dozens of varieties, ranging from light tan to almost black.",Breads,"[{'Substitute': '1 pound pumpernickel bread', 'Equivalent': '= 1 pound rye bread', 'Note': '', 'Nutritional value': {'Carbs': '47.5 g', 'Calories': '250 Cals.', 'Salt': '596 mg', 'Fat': '3.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '68 mg', 'Protein': '8.7 g', 'Sugars': '0.5 g', 'Fiber': '6.5 g', 'Mono Fats': '0.9 g', 'Poly Fats': '1.2 g', 'Saturated Fats': '0.4 g'}}, {'Substitute': '1 pound limpa bread', 'Equivalent': '= 1 pound rye bread', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
